Self-harm | C0424366
Self-Injurious Behavior | C0085271
self-harm; observation | C1408415
self-harm; history | C1387435
Nonsuicidal self-harm | C5539208
Thoughts of self harm | C0522178
Self-harm behavior management | C0262675
trauma; history, self-harm | C1387430
self-harm; family history | C1411259
Self-harm/assault (intentional) | C5143001
[X]Intentional self harm by self mutilation | C0578807
Personal history of self-harm | C0476566
Thoughts of deliberate self harm | C1303195
H/O: deliberate self harm | C1277575
Self Mutilation | C0036601
aflatoxin poisoning, intentional self-harm | C2082658
serotonin syndrome, intentional self-harm | C2229459
Intentional self-harm by pistol | C2905670
Intentional self-harm by revolver | C2905671
Intentional self-harm by airgun | C2905698
Intentional self-harm by knife | C2905753
Intentional self-harm by electrocution | C2905809
DANGER OF HARM TO SELF | C0149660
Self-harming behaviors | C3280486
Intentional self-harm by sharp object | C0480436
Intentional self-harm by handgun discharge | C0480370
Intentional self-harm by blunt object | C0480447
Intentional self-harm by explosive material | C0480403
Self inflicted injury | C0480203
poisoning by tramadol, intentional self-harm | C5384921
poisoning by heroin, intentional self-harm | C2877588
Intentional self-harm by shotgun discharge | C0840938
Low risk of harm to self | C1320313
Assessment for risk of self harm | C3697625
No thoughts of deliberate self harm | C1303194
Unknown risk of deliberate self harm | C1303198
poisoning by gadolinium, intentional self-harm | C5825565
poisoning by antimony, intentional self-harm | C2082684
poisoning by bismuth, intentional self-harm | C2082702
poisoning by gold, intentional self-harm | C2082869
poisoning due to intentional self-harm | C2083081
poisoning by digitoxin, intentional self-harm | C2229411
poisoning by strophanthin, intentional self-harm | C2229464
poisoning by digoxin, intentional self-harm | C2204039
poisoning by codeine, intentional self-harm | C2204133
poisoning by cinchonism, intentional self-harm | C2204026
poisoning by acids, intentional self-harm | C2082654
poisoning from narcotics, intentional self-harm | C2204137
late effects of intentional self harm | C4480854
injury due to intentional self-harm | C3648650
Poisoning by rifampicins, intentional self-harm | C2876692
Poisoning by anthelminthics, intentional self-harm | C2876892
Poisoning by benzodiazepines, intentional self-harm | C2878145
Poisoning by expectorants, intentional self-harm | C2880048
Poisoning by aminoglycosides, intentional self-harm | C2876667
Poisoning by macrolides, intentional self-harm | C2876618
Poisoning by salicylates, intentional self-harm | C2877356
Poisoning by cocaine, intentional self-harm | C2877686
Poisoning by amphetamines, intentional self-harm | C2878610
Poisoning by vitamins, intentional self-harm | C2879075
Poisoning by enzymes, intentional self-harm | C2879100
Poisoning by anticoagulants, intentional self-harm | C2879151
Poisoning by antitussives, intentional self-harm | C2880023
Poisoning by emetics, intentional self-harm | C2879845
Poisoning by antipruritics, intentional self-harm | C2883307
Poisoning by antiasthmatics, intentional self-harm | C2883203
Poisoning by penicillins, intentional self-harm | C2876544
Poisoning by immunoglobulin, intentional self-harm | C2883937
Poisoning by sulfonamides, intentional self-harm | C2876793
Poisoning by opium, intentional self-harm | C2877562
Poisoning by methadone, intentional self-harm | C2877637
Poisoning by caffeine, intentional self-harm | C2878585
Poisoning by methylphenidate, intentional self-harm | C2878634
Poisoning by cannabis, intentional self-harm | C5539226
Poisoning by tetracyclines, intentional self-harm | C2876642
Poisoning by aspirin, intentional self-harm | C2877332
Poisoning by iminostilbenes, intentional self-harm | C2878071
Poisoning by barbiturates, intentional self-harm | C2878120
Poisoning by digestants, intentional self-harm | C2879796
Poisoning by ecstasy, intentional self-harm | C4718821
Poisoning by methamphetamines intentional self-harm | C5675590
Scombroid fish poisoning, intentional self-harm | C2885138
Ciguatera fish poisoning, intentional self-harm | C2885122
Other fish poisoning, intentional self-harm | C2885155
Other shellfish poisoning, intentional self-harm | C2885172
Intentional self-harm by paintball gun | C2905702
Intentional self-harm by knife, sequela | C2905756
Intentional self-harm by sharp glass | C2905749
Intentional self-harm by airgun, sequela | C2905701
Personal history of nonsuicidal self-harm | C5539311
Intentional self-harm by electrocution, sequela | C2905812
Suicidal ideation/attempt/intentional self-harm | C5225920
Upholds contract to not harm self | C0518591
At increased risk for deliberate self harm | C1276053
Intentional self-harm by drowning and submersion | C0480359
Intentional self-harm by other specified means | C0480491
Plans for deliberate self harm without intent | C1303196
Obsessional thoughts of causing harm to self | C0424205
Other fish poisoning, intentional self-harm, sequela | C2885158
Ciguatera fish poisoning, intentional self-harm, sequela | C2885125
Scombroid fish poisoning, intentional self-harm, sequela | C2885141
poisoning by brass fumes, intentional self-harm | C2082705
poisoning by cardiac glycosides, intentional self-harm | C2204040
poisoning by digitalis glycosides, intentional self-harm | C2229410
poisoning by heavy metals, intentional self-harm | C2082873
Intentional self-harm by large calibre rifle | C0840940
Intentional self-harm by air rifle discharge | C0840937
poisoning from other narcotics, intentional self-harm | C5541789
SMDDS Version 1.0 - Self-Harm/Suicide Subscore | C5447109
Poisoning by mixed antiepileptics, intentional self-harm | C2878172
Poisoning by tramadol, intentional self-harm, sequela | C5384924
Poisoning by antithyroid drugs, intentional self-harm | C2877045
Poisoning by aspirin, intentional self-harm, sequela | C2877335
Poisoning by tetracyclic antidepressants, intentional self-harm | C2878302
Poisoning by other antidepressants, intentional self-harm | C2878430
Poisoning by unspecified psychostimulants, intentional self-harm | C2878560
Poisoning by amphetamines, intentional self-harm, sequela | C2878613
Poisoning by coronary vasodilators, intentional self-harm | C2879465
Poisoning by oxytocic drugs, intentional self-harm | C2879920
Poisoning by antiasthmatics, intentional self-harm, sequela | C2883206
Asphyxiation due to hanging, intentional self-harm | C2886411
Poisoning by penicillins, intentional self-harm, sequela | C2876547
Poisoning by aminoglycosides, intentional self-harm, sequela | C2876670
Poisoning by antimycobacterial drugs, intentional self-harm | C2876817
Poisoning by sulfonamides, intentional self-harm, sequela | C2876796
Poisoning by salicylates, intentional self-harm, sequela | C2877359
Poisoning by methadone, intentional self-harm, sequela | C2877640
Poisoning by heroin, intentional self-harm, sequela | C2877591
Poisoning by lysergide [LSD], intentional self-harm | C2877788
Poisoning by intravenous anesthetics, intentional self-harm | C2877892
Poisoning by unspecified anesthetic, intentional self-harm | C2877994
Poisoning by hydantoin derivatives, intentional self-harm | C2878045
Poisoning by iminostilbenes, intentional self-harm, sequela | C2878074
Poisoning by inhaled anesthetics, intentional self-harm | C2877866
Poisoning by local anesthetics, intentional self-harm | C2877970
Poisoning by benzodiazepines, intentional self-harm, sequela | C2878148
Poisoning by unspecified antidepressants, intentional self-harm | C2878353
Poisoning by anticholinesterase agents, intentional self-harm | C2878737
Poisoning by antithrombotic drugs, intentional self-harm | C2879178
Poisoning by thrombolytic drug, intentional self-harm | C2879230
Poisoning by hemostatic drug, intentional self-harm | C2879256
Poisoning by digestants, intentional self-harm, sequela | C2879799
Poisoning by antidiarrheal drugs, intentional self-harm | C2879820
Poisoning by antitussives, intentional self-harm, sequela | C2880026
Poisoning by tetracyclines, intentional self-harm, sequela | C2876645
Poisoning by rifampicins, intentional self-harm, sequela | C2876695
Poisoning by appetite depressants, intentional self-harm | C2883658
Poisoning by smallpox vaccines, intentional self-harm | C2883886
Poisoning by diagnostic agents, intentional self-harm | C2883733
Poisoning by immunoglobulin, intentional self-harm, sequela | C2883940
Poisoning by opium, intentional self-harm, sequela | C2877565
Poisoning by other opioids, intentional self-harm | C2877612
Poisoning by unspecified narcotics, intentional self-harm | C2877712
Poisoning by other narcotics, intentional self-harm | C2877738
Poisoning by therapeutic gases, intentional self-harm | C2878019
Poisoning by tricyclic antidepressants, intentional self-harm | C2878278
Poisoning by caffeine, intentional self-harm, sequela | C2878588
Poisoning by methylphenidate, intentional self-harm, sequela | C2878637
Poisoning by vitamins, intentional self-harm, sequela | C2879078
Poisoning by peripheral vasodilators, intentional self-harm | C2879567
Poisoning by stimulant laxatives, intentional self-harm | C2879720
Poisoning by other laxatives, intentional self-harm | C2879771
Poisoning by expectorants, intentional self-harm, sequela | C2880051
Poisoning by antipruritics, intentional self-harm, sequela | C2883310
Intentional self-harm by hunting rifle discharge | C2905678
Poisoning by cannabis, intentional self-harm, sequela | C5539229
Poisoning by methamphetamines intentional self-harm, sequela | C5675593
Poisoning by synthetic cannabinoids, intentional self-harm | C5539251
Poisoning by chloramphenicol group, intentional self-harm | C2876593
Poisoning by macrolides, intentional self-harm, sequela | C2876621
Poisoning by anthelminthics, intentional self-harm, sequela | C2876895
Poisoning by antiviral drugs, intentional self-harm | C2876917
Poisoning by oral contraceptives, intentional self-harm | C2877096
Poisoning by ecstasy, intentional self-harm, sequela | C4553264
Poisoning by pyrazolone derivatives, intentional self-harm | C2877406
Poisoning by cocaine, intentional self-harm, sequela | C2877689
Poisoning by barbiturates, intentional self-harm, sequela | C2878123
Poisoning by other psychostimulants, intentional self-harm | C2878659
Poisoning by enzymes, intentional self-harm, sequela | C2879103
Poisoning by anticoagulants, intentional self-harm, sequela | C2879154
Poisoning by emetics, intentional self-harm, sequela | C2879848
Intentional self-harm by crashing of aircraft | C2905805
Other shellfish poisoning, intentional self-harm, sequela | C2885175
Toxic effect of ketones, intentional self-harm | C2884151
Toxic effect of aflatoxin, intentional self-harm | C2885948
Toxic effect of fiberglass, intentional self-harm | C2886175
Intentional self-harm by machine gun discharge | C2905682
Intentional self-harm by paintball gun, sequela | C2905705
Intentional self-harm by other firearm discharge | C2905711
Intentional self-harm by other hot fluids | C2905733
Intentional self-harm by sharp glass, sequela | C2905752
Intentional self-harm by blunt object, sequela | C2905771
Toxic effect of methanol, intentional self-harm | C2884001
Toxic effect of benzene, intentional self-harm | C2884101
Toxic effect of soaps, intentional self-harm | C2884429
Toxic effect of glycols, intentional self-harm | C2884135
Toxic effect of tetrachloroethylene, intentional self-harm | C2884252
Toxic effect of chlorofluorocarbons, intentional self-harm | C2884285
Toxic effect of detergents, intentional self-harm | C2884445
Toxic effect of thallium, intentional self-harm | C2884592
Toxic effect of smoke, intentional self-harm | C2884961
Toxic effect of cyanides, intentional self-harm | C2885981
Toxic effect of ethanol, intentional self-harm | C2883985
Toxic effect of chloroform, intentional self-harm | C2884217
Toxic effect of rodenticides, intentional self-harm | C2885074
Toxic effect of latex, intentional self-harm | C2886134
Intentional self-harm by airgun, initial encounter | C2905699
Intentional self-harm by unspecified firearm discharge | C2905715
Intentional self-harm by unspecified hot objects | C2905745
Intentional self-harm by knife, initial encounter | C2905754
Intentional self-harm by hot household appliances | C2905737
Intentional self-harm by sword or dagger | C2905757
Intentional self-harm by other sharp object | C2905761
Intentional self-harm by electrocution, subsequent encounter | C2905811
Intentional self-harm by handgun discharge, sequela | C2905674
Intentional self-harm by shotgun discharge, sequela | C2905677
Intentional self-harm by BB gun discharge | C2905696
Intentional self-harm by other hot objects | C2905741
Intentional self-harm by knife, subsequent encounter | C2905755
Intentional self-harm by unspecified sharp object | C2905765
Intentional self-harm by electrocution, initial encounter | C2905810
Toxic effect of gadolinium, intentional self-harm | C5819307
Toxic effect of trichloroethylene, intentional self-harm | C2884234
Toxic effect of dichloromethane, intentional self-harm | C2884269
Toxic effect of formaldehyde, intentional self-harm | C2884864
Intentional self-harm by pellet gun discharge | C2905697
Intentional self-harm by airgun, subsequent encounter | C2905700
Intentional self-harm by explosive material, sequela | C2905721
Intentional self-harm by hot tap water | C2905729
Suicide attempt/intentional self-harm; subsequent encounter | C5225959
Monitors for warning signs of self-harm | C1821317
Risk of violence or harm to self | C0549012
Patient will not harm self or others. | C0548732
Intentional self-harm by hanging, strangulation and suffocation | C0480348
Intentional self-harm by crashing of motor vehicle | C0480480
Intentional self-harm by smoke, fire and flames | C0480414
Suicide and selfinflicted injury | C0178360
Intent of deliberate self harm with detailed plans | C1303197
Poisoning by other synthetic narcotics, intentional self-harm | C5384945
Has access to lethal means of self harm | C4759312
poisoning by thallium due to intentional self-harm | C2083158
poisoning by barium due to intentional self-harm | C2082697
Intentional self-harm by small calibre rifle discharge | C0840939
physical trauma; history, self-harm or suicide attempt | C1387390
Poisoning by succinimides and oxazolidinediones, intentional self-harm | C2878095
Other intentional self-harm by drowning and submersion | C2905661
Poisoning by mixed antiepileptics, intentional self-harm, sequela | C2878175
Poisoning by ganglionic blocking drugs, intentional self-harm | C2878788
Poisoning by tramadol, intentional self-harm, subsequent encounter | C5384923
Poisoning by ecstasy, intentional self-harm, initial encounter | C4553262
Poisoning by aminoglycosides, intentional self-harm, initial encounter | C2876668
Poisoning by rifampicins, intentional self-harm, subsequent encounter | C2876694
Poisoning by anthelminthics, intentional self-harm, initial encounter | C2876893
Poisoning by antithyroid drugs, intentional self-harm, sequela | C2877048
Poisoning by oral contraceptives, intentional self-harm, sequela | C2877099
Poisoning by aspirin, intentional self-harm, initial encounter | C2877333
Poisoning by propionic acid derivatives, intentional self-harm | C2877438
Poisoning by opium, intentional self-harm, subsequent encounter | C2877564
Poisoning by cocaine, intentional self-harm, subsequent encounter | C2877688
Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm | C2877814
Poisoning by benzodiazepines, intentional self-harm, subsequent encounter | C2878147
Poisoning by tetracyclic antidepressants, intentional self-harm, sequela | C2878305
Poisoning by unspecified antidepressants, intentional self-harm, sequela | C2878356
Poisoning by unspecified psychotropic drug, intentional self-harm | C2878711
Poisoning by anticoagulants, intentional self-harm, initial encounter | C2879152
Poisoning by diagnostic agents, intentional self-harm, sequela | C2883736
Toxic effect of lacrimogenic gas, intentional self-harm | C2884880
Intentional self-harm by other specified means, sequela | C2905819
Poisoning by macrolides, intentional self-harm, subsequent encounter | C2876620
Poisoning by penicillins, intentional self-harm, subsequent encounter | C2876546
Poisoning by chloramphenicol group, intentional self-harm, sequela | C2876596
Poisoning by tetracyclines, intentional self-harm, initial encounter | C2876643
Poisoning by aminoglycosides, intentional self-harm, subsequent encounter | C2876669
Poisoning by rifampicins, intentional self-harm, initial encounter | C2876693
Poisoning by unspecified systemic antibiotic, intentional self-harm | C2876767
Poisoning by sulfonamides, intentional self-harm, subsequent encounter | C2876795
